% Model,pt 2_new.mph,
% Version,COMSOL 6.0.0.405,
% Date,"Mar 18 2023, 13:23",
% Dimension,2,
% Nodes,100,
% Expressions,1,
% Description,"Electric field, z component",
% Length unit,m,
% X,Y,emw.Ez (V/m) @ freq=1
-0.162,-0.162,NaN
-0.126,-0.162,NaN
-0.09,-0.162,NaN
-0.054,-0.162,0.7969669907682497-0.3191382401789171i
-0.018,-0.162,-1.0778575219147843-0.09107222436106706i
0.018,-0.162,0.5762814909053745+0.1021205871037283i
0.054,-0.162,-0.15294943368027442-0.00786918162137682i
0.09,-0.162,NaN
0.126,-0.162,NaN
0.162,-0.162,NaN
-0.162,-0.126,NaN
-0.126,-0.126,0.3092428969068982+0.4712364728780254i
-0.09,-0.126,7.12633873134228-7.063187175180696i
-0.054,-0.126,-25.818027503608505-3.5152551658427664i
-0.018,-0.126,24.57691241001469+9.782505214773126i
0.018,-0.126,-17.238400962918867-0.0780732417086955i
0.054,-0.126,4.896233340240265-3.281347454157669i
0.09,-0.126,-0.16894544673808037+0.5442614873916063i
0.126,-0.126,7.388843941015838E-4-0.012464074816643817i
0.162,-0.126,NaN
-0.162,-0.09,NaN
-0.126,-0.09,5.809536373393682-25.538076487161497i
-0.09,-0.09,-96.5117660233027-27.212438436846995i
-0.054,-0.09,45.11403577589769+54.20216771366918i
-0.018,-0.09,-36.29111326593995-20.19634402258783i
0.018,-0.09,26.06724604524863-8.010808067403131i
0.054,-0.09,-5.170872446325855+15.556107843564984i
0.09,-0.09,-6.36407212173791-5.920269127758008i
0.126,-0.09,0.2925135554655639-0.11405794787445422i
0.162,-0.09,NaN
-0.162,-0.054,-5.592686179557823+1.435805582752757i
-0.126,-0.054,-203.54474834745315+1.8340113651647236i
-0.09,-0.054,51.13966006463089+186.08759327502426i
-0.054,-0.054,-58.53599384621999-91.56426048909294i
-0.018,-0.054,66.3944318175465-2.540301377306246i
0.018,-0.054,-13.472288081436208+33.116007873032665i
0.054,-0.054,-13.676209706360467-9.90680262094805i
0.09,-0.054,5.1563226507988755-6.476070084102602i
0.126,-0.054,1.513132497958686+1.3651621638119675i
0.162,-0.054,-0.02614750253473536+0.013159019824297988i
-0.162,-0.018,11.27784452012219-2.6098733948707737i
-0.126,-0.018,3.813490673941814+750.1417278027274i
-0.09,-0.018,-98.5206712361492-324.66299550333264i
-0.054,-0.018,156.97710354993475-29.333741687951363i
-0.018,-0.018,-2.5442641168164477+67.16108504718687i
0.018,-0.018,-26.279032658806308+1.324156907240486i
0.054,-0.018,-2.8897834626252448-13.00590257642642i
0.09,-0.018,6.7206175050479855-1.792946054212782i
0.126,-0.018,1.0533013265090543+3.3574725238509786i
0.162,-0.018,-0.046921473349863706+0.0035798242194506388i
-0.162,0.018,11.237681288994418-2.6171872729000847i
-0.126,0.018,4.755142403672984+753.795167502973i
-0.09,0.018,-89.13008782901022-331.08822883784785i
-0.054,0.018,121.38149059422857-30.51868719287998i
-0.018,0.018,36.843045672788605+6.74057602715884i
0.018,0.018,-6.810425361422327+15.154280529366872i
0.054,0.018,-6.430602021776718-3.5564191533539797i
0.09,0.018,1.7833117064642998-3.377004900460687i
0.126,0.018,1.8773121595034719+0.8910827682781964i
0.162,0.018,-0.015828614338023444+0.022027660188507246i
-0.162,0.054,-5.623485514225409+1.4583833454775785i
-0.126,0.054,-201.35484079292524+1.3614750348582945i
-0.09,0.054,45.15985755976541+181.73468015346785i
-0.054,0.054,-43.71120601099761-76.87125814004034i
-0.018,0.054,5.485881938468645-33.17060587683596i
0.018,0.054,19.243544266913418-1.7578149473948128i
0.054,0.054,-3.383781950429867+12.260265383517012i
0.09,0.054,-5.905845840115763-3.353749061584354i
0.126,0.054,1.0573869044965871-1.2507610164018963i
0.162,0.054,0.010469870793304198+0.020711531912370414i
-0.162,0.09,NaN
-0.126,0.09,5.659426060893306-25.59770038138617i
-0.09,0.09,-92.97628623938667-25.401189663264987i
-0.054,0.09,41.70726365570309+60.17058024543106i
-0.018,0.09,-23.02652384080216-15.579886214326766i
0.018,0.09,9.65430352974348-6.657790304140788i
0.054,0.09,4.883577976357379+3.2993362105194626i
0.09,0.09,-3.1744342815507016+3.9055791407249574i
0.126,0.09,-0.09338965211513665-0.22622604610779465i
0.162,0.09,NaN
-0.162,0.126,NaN
-0.126,0.126,0.3113800590686068+0.4745967475997731i
-0.09,0.126,6.997796322531329-7.03242447357203i
-0.054,0.126,-27.115216593904794-4.067101185421765i
-0.018,0.126,21.22319185206304+13.42196312576991i
0.018,0.126,-11.9844527376638-1.486573671652398i
0.054,0.126,2.26655333338483-1.747650955630459i
0.09,0.126,0.08746512225209413+0.21568181811540657i
0.126,0.126,-0.005597857519219018-0.0029149243822356907i
0.162,0.126,NaN
-0.162,0.162,NaN
-0.126,0.162,NaN
-0.09,0.162,NaN
-0.054,0.162,0.8098458300557767-0.333090965160158i
-0.018,0.162,-1.0894633215046445-0.16094351137139623i
0.018,0.162,0.5078117628794475+0.14305614279894932i
0.054,0.162,-0.11821113471452312-0.01472679446540371i
0.09,0.162,NaN
0.126,0.162,NaN
0.162,0.162,NaN
